Nome tabella,Schema tabella,Tipo di oggetto,Proprietario,Tipo di proprietario,Tablespace,Tablespace indice,Tablespace esteso,Organizzazione,Regola di cancellazione,Volatile,Modalità di compressione riga,Pagine salvate,Comprimi,Tipo di distribuzione,Modalità partizione,Dimensione media righe,Stato,Accoda a modello,Conteggio righe,Data/ora creazione,Ultimo utilizzo,Modificato,Data/ora statistica,Pctfree,Cattura dati,Dimensione del blocco,Registrato,Commenti,Chiave primaria,Chiave esterna,Valore temporale
DEPARTMENTS,TTJ26991,TABLE,TTJ26991,USER,TTJ26991SPACE1,,,R,NO, ,NONE,-1,No compression is enabled, ,NO DATABASE PARTITIONING,-1,NORMAL,OFF,-1,2021-12-02 22:47:07:959148,2021-12-02,2021-12-02 22:47:08:096649,,-1,NONE,ROW,NO,,DEPT_ID_DEP,,NO
EMPLOYEES,TTJ26991,TABLE,TTJ26991,USER,TTJ26991SPACE1,,,R,NO, ,NONE,-1,No compression is enabled, ,NO DATABASE PARTITIONING,-1,NORMAL,OFF,-1,2021-12-02 22:47:07:544511,0001-01-01,2021-12-02 22:47:07:642371,,-1,NONE,ROW,NO,,EMP_ID,,NO
JOBS,TTJ26991,TABLE,TTJ26991,USER,TTJ26991SPACE1,,,R,NO, ,NONE,-1,No compression is enabled, ,NO DATABASE PARTITIONING,-1,NORMAL,OFF,-1,2021-12-02 22:47:07:823353,2021-12-02,2021-12-02 22:47:07:946621,,-1,NONE,ROW,NO,,JOB_IDENT,,NO
JOB_HISTORY,TTJ26991,TABLE,TTJ26991,USER,TTJ26991SPACE1,,,R,NO, ,NONE,-1,No compression is enabled, ,NO DATABASE PARTITIONING,-1,NORMAL,OFF,-1,2021-12-02 22:47:07:656999,0001-01-01,2021-12-02 22:47:07:778188,,-1,NONE,ROW,NO,,"EMPL_ID,JOBS_ID",,NO
LOCATIONS,TTJ26991,TABLE,TTJ26991,USER,TTJ26991SPACE1,,,R,NO, ,NONE,-1,No compression is enabled, ,NO DATABASE PARTITIONING,-1,NORMAL,OFF,-1,2021-12-02 22:47:08:118385,0001-01-01,2021-12-02 22:47:08:250232,,-1,NONE,ROW,NO,,"LOCT_ID,DEP_ID_LOC",,NO
PETSALE,TTJ26991,TABLE,TTJ26991,USER,TTJ26991SPACE1,,,R,NO, ,NONE,-1,No compression is enabled, ,NO DATABASE PARTITIONING,-1,NORMAL,OFF,-1,2021-12-02 22:24:13:331962,2021-12-02,2021-12-02 22:34:14:501362,,-1,NONE,ROW,NO,,,,NO
